Käyttöönottovuosi,Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy,Kolmanneksi yleisin hylkäyssyy
2012,Audi,A7,0.0,,,
2012,Suzuki,SWIFT,0.0,,,
2012,Suzuki,SX4,0.3,,,
2012,Toyota,COROLLA,0.5,,,
2012,Seat,LEON,0.6,,,
2012,Skoda,ROOMSTER,0.6,,,
2012,Toyota,LAND CRUISER,0.7,,,
2012,Honda,JAZZ,0.7,,,
2012,Mitsubishi,OUTLANDER,0.9,,,
2012,Volkswagen,TIGUAN,1.0,Bensiinimoottorin pakokaasumittaus,Valmistajan kilpi,Valmistenumero
2012,Toyota,AURIS,1.0,,,
2012,Seat,IBIZA,1.0,,,
2012,Toyota,PRIUS,1.1,,,
2012,Ford,KUGA,1.1,,,
2012,Volvo,XC 60,1.1,Taka-akselisto,Valmistajan kilpi,Renkaat ja vanteet
2012,Audi,Q3,1.1,Käyttöjarrun dynamometritesti,Valmistajan kilpi,
2012,Skoda,YETI,1.1,,,
2012,Mazda,3,1.1,,,
2012,Nissan,JUKE,1.1,,,
2012,Audi,Q5,1.2,Sisäinen valvontajärjestelmä (OBD),Polttoainevuodot,Koeajo
2012,Audi,A5,1.2,,,
2012,Skoda,CITIGO,1.2,,,
2012,Mini,COOPER/ ONE,1.2,,,
2012,Honda,CIVIC,1.2,,,
2012,Toyota,YARIS,1.2,,,
2012,Peugeot,208,1.4,,,
2012,Skoda,OCTAVIA,1.4,,,
2012,Volkswagen,UP!,1.4,,,
2012,Audi,A4,1.5,,,
2012,Volkswagen,GOLF,1.5,Bensiinimoottorin pakokaasumittaus,Renkaat ja vanteet,Jousitus ja iskunvaimennus
2012,Toyota,AVENSIS,1.5,,,
2012,Seat,EXEO,1.5,Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet,Käyttöjarru
2012,Mitsubishi,ASX,1.6,,,
2012,Suzuki,ALTO,1.6,,,
2012,Volkswagen,BEETLE,1.6,,,
2012,Audi,A6,1.6,,,
2012,Honda,CR-V,1.7,,,
2012,Mazda,6,1.7,,,
2012,Volkswagen,CC,1.7,Valmistajan kilpi,Renkaat ja vanteet,
2012,Honda,ACCORD,1.8,,,
2012,Nissan,QASHQAI,1.8,,,
2012,Toyota,VERSO-S,1.8,,,
2012,Kia,SOUL,1.8,,,
2012,Opel,ZAFIRA,1.9,,,
2012,Mercedes-Benz,GLK,1.9,,,
2012,Audi,A3,1.9,Renkaat ja vanteet,Bensiinimoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
2012,Volkswagen,JETTA,2.0,Bensiinimoottorin pakokaasumittaus,Käyttöjarru,Renkaat ja vanteet
2012,Volvo,S40,2.0,,,
2012,Ford,FIESTA,2.0,Ohjausnivelet ja -tangot,Renkaat ja vanteet,Valmistajan kilpi
2012,Skoda,FABIA,2.0,,,
2012,Volkswagen,PASSAT,2.0,Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
2012,Hyundai,I30,2.0,Seisontajarrun dynamometritesti,Valmistajan kilpi,Sisäinen valvontajärjestelmä (OBD)
2012,Ford,FOCUS,2.1,,,
2012,Toyota,RAV4,2.1,,,
2012,Lexus,CT200H,2.1,,,
2012,Volkswagen,POLO,2.2,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
2012,Volvo,V50,2.2,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Käyttöjarru
2012,Opel,ASTRA,2.2,,,
2012,Skoda,SUPERB,2.2,,,
2012,Mercedes-Benz,M,2.3,,,
2012,Volvo,C70,2.3,,,
2012,Citroen,DS5,2.4,,,
2012,Volkswagen,SHARAN,2.4,,,
2012,Volkswagen,TOURAN,2.4,Renkaat ja vanteet,Etuakselisto,Jousitus ja iskunvaimennus
2012,Nissan,NOTE,2.6,,,
2012,Kia,OPTIMA,2.6,,,
2012,BMW,1,2.6,,,
2012,Ford,FOCUS C-MAX,2.7,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Etuakselisto
2012,Kia,RIO,2.7,,,
2012,Toyota,VERSO,2.7,,,
2012,Subaru,XV,2.8,,,
2012,Kia,CEED,2.8,Seisontajarrun dynamometritesti,Renkaat ja vanteet,Etuakselisto
2012,Citroen,DS3,2.8,,,
2012,Audi,A1,2.9,Renkaat ja vanteet,Bensiinimoottorin pakokaasumittaus,Etuakselisto
2012,BMW,3,3.0,Valmistajan kilpi,Renkaat ja vanteet,Rekisterimerkinnät
2012,Mercedes-Benz,C,3.0,,,
2012,Subaru,LEGACY,3.1,,,
2012,Nissan,MICRA,3.2,,,
2012,Opel,INSIGNIA,3.2,Käyttöjarru,Renkaat ja vanteet,Taka-akselisto
2012,Toyota,AYGO,3.2,,,
2012,Chevrolet,AVEO,3.2,,,
