,model_year,brand,model,fail_pct,reason_1,reason_2,reason_3
0,2013,Mercedes-Benz,CLS,0.0,,,
1,2013,Nissan,JUKE,0.0,,,
2,2013,Toyota,COROLLA,0.31,,,
3,2013,Toyota,PRIUS,0.37,,,
4,2013,Ford,KUGA,0.52,,,
5,2013,"Volkswagen, VW",GOLF PLUS,0.65,,,
6,2013,Toyota,VERSO-S,0.69,,,
7,2013,Skoda,ROOMSTER,0.73,,,
8,2013,Toyota,AVENSIS,0.9,,,
9,2013,Toyota,YARIS,0.92,,,
10,2013,Volvo,XC60,0.9663,Käyttöjarru,Renkaat ja vanteet,Lähivalo
11,2013,Kia,CEED,1.11,,,
12,2013,Volkswagen,TIGUAN,1.142,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
13,2013,Suzuki,SX4,1.17,,,
14,2013,Honda,JAZZ,1.2,,,
15,2013,Audi,A4,1.22,,,
16,2013,Mazda,3,1.23,,,
17,2013,Honda,CR-V,1.33,,,
18,2013,Skoda,YETI,1.33,,,
19,2013,Audi,A5,1.36,,,
20,2013,Audi,A1,1.39,,,
21,2013,Kia,RIO,1.41,,,
22,2013,Volvo,V60,1.49,,,
23,2013,Volkswagen,GOLF,1.548,Renkaat ja vanteet,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
24,2013,Toyota,AURIS,1.6,,,
25,2013,Seat,TOLEDO,1.62,,,
26,2013,Mercedes-Benz,GLK,1.63,,,
27,2013,Seat,IBIZA,1.63,,,
28,2013,Toyota,RAV4,1.7,,,
29,2013,Volvo,C70,1.73,,,
30,2013,Audi,A6,1.74,Renkaat ja vanteet,Valmistajan kilpi,Käyttöjarru
31,2013,Audi,Q3,1.8,,,
32,2013,Ford,FIESTA,1.9,,,
33,2013,Opel,ASTRA,1.91,,,
34,2013,Honda,CIVIC,1.91,Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet,Lähivalo
35,2013,Skoda,FABIA,1.91,,,
36,2013,Citroen,C1,1.92,,,
37,2013,Skoda,OCTAVIA,1.92,,,
38,2013,Audi,A3,1.93,,,
39,2013,Peugeot,208,1.97,,,
40,2013,Opel,MOKKA,1.97,,,
41,2013,Honda,ACCORD,1.98,,,
42,2013,Alfa Romeo,GIULIETTA,1.98,,,
43,2013,Peugeot,308,1.99,,,
44,2013,Mitsubishi,OUTLANDER,1.99,,,
45,2013,Skoda,RAPID,2.02,,,
46,2013,Chevrolet,TRAX,2.04,,,
47,2013,Audi,Q5,2.041,Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet,Käyttöjarrun dynamometritesti
48,2013,Toyota,VERSO,2.08,,,
49,2013,Opel,ZAFIRA,2.08,,,
50,2013,Mazda,5,2.1,,,
51,2013,Ford,FOCUS,2.11,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD)
52,2013,Volkswagen,BEETLE,2.154,Rekisterimerkinnät,Renkaat ja vanteet,Ohjausnivelet ja -tangot
53,2013,Hyundai,I30,2.168,Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti,Lähivalo
54,2013,Subaru,FORESTER,2.17,,,
55,2013,Volkswagen,PASSAT,2.25,Renkaat ja vanteet,Etuakselisto,Bensiinimoottorin pakokaasumittaus
56,2013,Mazda,6,2.29,Seisontajarrun dynamometritesti,Käyttöjarru,Renkaat ja vanteet
57,2013,Ford,B-MAX,2.3,,,
58,2013,Opel,INSIGNIA,2.314,Taka-akselisto,Käyttöjarrun dynamometritesti,Valmistajan kilpi
59,2013,Nissan,QASHQAI,2.38,Seisontajarrun dynamometritesti,Käyttöjarru,Renkaat ja vanteet
60,2013,Land Rover,RANGE ROVER,2.4,,,
61,2013,Peugeot,508,2.48,,,
62,2013,Lexus,IS300H,2.52,,,
63,2013,Mitsubishi,ASX,2.53,,,
64,2013,Volvo,S60,2.61,,,
65,2013,Toyota,AYGO,2.63,,,
66,2013,Citroen,C3,2.63,,,
67,2013,Ford,FOCUS C-MAX,2.65,,,
68,2013,Subaru,LEGACY,2.66,,,
69,2013,Mercedes-Benz,C,2.71,,,
70,2013,Volvo,S80,2.74,,,
71,2013,Kia,CARENS,2.75,,,
72,2013,BMW,1,2.79,Valmistajan kilpi,Renkaat ja vanteet,Jousitus ja iskunvaimennus
73,2013,Peugeot,308 SW STYLE,2.79,,,
74,2013,Suzuki,SWIFT,2.8,,,
75,2013,Mercedes-Benz,A,2.81,Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus,Renkaat ja vanteet
76,2013,Hyundai,IX20,2.84,,,
77,2013,Seat,LEON,2.9,,,
78,2013,BMW,3,2.93,Valmistajan kilpi,Renkaat ja vanteet,Seisontajarrun dynamometritesti
79,2013,Volkswagen,JETTA,2.947,Bensiinimoottorin pakokaasumittaus,Käyttöjarrun dynamometritesti,Käyttöjarru
80,2013,Mini,COOPER/ ONE,2.96,,,
81,2013,Volkswagen,CC,2.977,Etuakselisto,Taka-akselisto,Renkaat ja vanteet
82,2013,BMW,5,3.21,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Valmistajan kilpi
83,2013,Skoda,SUPERB,3.24,Renkaat ja vanteet,Käyttöjarru,Käyttöjarrun dynamometritesti
84,2013,Citroen,C4,3.37,,,
85,2013,Nissan,MICRA,3.48,,,
86,2013,Volkswagen,POLO,3.484,Jousitus ja iskunvaimennus,Turvavyöt ja -varusteet,Käyttöjarru
87,2013,Volvo,V70,3.5,Renkaat ja vanteet,Ohjausnivelet ja -tangot,Käyttöjarru
88,2013,BMW,X3,3.52,,,
89,2013,Peugeot,2008,3.57,,,
90,2013,Mercedes-Benz,M,3.76,,,
91,2013,Mercedes-Benz,B,3.86,,,
92,2013,Volkswagen,TOURAN,3.977,Renkaat ja vanteet,Etuakselisto,Käyttöjarru
93,2013,Volkswagen,UP!,4.035,Turvavyöt ja -varusteet,Käyttöjarrun dynamometritesti,Valmistajan kilpi
94,2013,Chevrolet,CRUZE,4.05,,,
95,2013,Nissan,NOTE,4.05,Etuakselisto,Renkaat ja vanteet,Turvavyöt ja -varusteet
96,2013,Citroen,BERLINGO,4.13,,,
97,2013,Kia,PICANTO,4.14,,,
98,2013,Opel,ADAM,4.35,,,
99,2013,Opel,CORSA,4.36,Käyttöjarrun dynamometritesti,Jousitus ja iskunvaimennus,Valmistajan kilpi
100,2013,Kia,VENGA,4.4,,,
101,2013,Renault,CAPTUR,4.59,,,
102,2013,Jaguar,XF,4.72,Valmistajan kilpi,Taka-akselisto,Renkaat ja vanteet
103,2013,Renault,MEGANE,4.78,,,
