,model_year,brand,model,checked_cars,fail_pct,driven_avg,driven_med,reason_1,reason_2,reason_3
0,2002,Alfa Romeo,147,101,53.47,180000,179000,Etuakselisto,Alustan kotelot ja pohjalevy,Seisontajarrun dynamometritesti
1,2002,Alfa Romeo,156,127,43.3,209000,214000,Etuakselisto,Alustan kotelot ja pohjalevy,Käyttöjarru
2,2002,Audi,A3,653,33.22,218000,208000,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
3,2002,Audi,A4,2229,34.62,282000,272000,Etuakselisto,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
4,2002,Audi,A6,953,36.1,292000,280000,Etuakselisto,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
5,2002,BMW,3,2192,43.28,257000,246000,Seisontajarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD),Etuakselisto
6,2002,BMW,5,1153,43.28,322000,310000,Etuakselisto,Seisontajarrun dynamometritesti,Käyttöjarru
7,2002,BMW,X5,250,39.2,303000,295000,Etuakselisto,Käyttöjarru,Seisontajarrun dynamometritesti
8,2002,Chevrolet,TRANS SPORT,147,54.4,255000,258000,Alustan kotelot ja pohjalevy,Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
9,2002,Chrysler,NEON,432,41.2,177000,173000,Etuakselisto,Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
10,2002,Chrysler,PT CRUISER,231,45.44,225000,213000,Etuakselisto,Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
11,2002,Chrysler,SEBRING,315,44.44,206000,207000,Etuakselisto,Ohjausnivelet ja -tangot,Alustan kotelot ja pohjalevy
12,2002,Chrysler,VOYAGER,736,49.3,266000,262000,Seisontajarrun dynamometritesti,Käyttöjarru,Alustan kotelot ja pohjalevy
13,2002,Citroen,BERLINGO,132,46.22,236000,224000,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
14,2002,Citroen,C3,670,40.3,179000,178000,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
15,2002,Citroen,C5,1839,48.78,267000,257000,Etuakselisto,Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
16,2002,Citroen,SAXO,223,37.66,146000,146000,Etuakselisto,Käyttöjarrun dynamometritesti,Bensiinimoottorin pakokaasumittaus
17,2002,Citroen,XSARA,1339,37.78,222000,216000,Käyttöjarru,Etuakselisto,Jousitus ja iskunvaimennus
18,2002,Citroen,XSARA PICASSO,526,51.34,254000,247000,Sisäinen valvontajärjestelmä (OBD),Alustan kotelot ja pohjalevy,Etuakselisto
19,2002,Fiat,BRAVA,175,48.56,169000,164000,Etuakselisto,Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
20,2002,Fiat,PUNTO,2149,44.8,152000,152000,Alustan kotelot ja pohjalevy,Sisäinen valvontajärjestelmä (OBD),Etuakselisto
21,2002,Fiat,STILO,660,50.62,184000,179000,Sisäinen valvontajärjestelmä (OBD),Etuakselisto,
22,2002,Ford,FIESTA,798,21.44,159000,157000,Seisontajarrun dynamometritesti,Alustan kotelot ja pohjalevy,Jousitus ja iskunvaimennus
23,2002,Ford,FOCUS,3772,37.22,225000,222000,Seisontajarrun dynamometritesti,Etuakselisto,Käyttöjarrun dynamometritesti
24,2002,Ford,GALAXY,116,46.56,279000,274000,Käyttöjarru,Alustan kotelot ja pohjalevy,Seisontajarrun dynamometritesti
25,2002,Ford,KA,455,42.88,57000,62000,Alustan kotelot ja pohjalevy,Jousitus ja iskunvaimennus,Etuakselisto
26,2002,Ford,MONDEO,3663,47.06,265000,261000,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,Käyttöjarru
27,2002,Honda,ACCORD,308,37.66,228000,227000,Seisontajarrun dynamometritesti,Etuakselisto,Käyttöjarru
