Käyttöönottovuosi,Merkki,Malli,Katsastusten lukumäärä,Hylkäys-%,Ajettujen kilometrien keskiarvo,Ajettujen kilometrien mediaani,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy,Kolmanneksi yleisin hylkäyssyy
2004,Merkit yhteensä,Mallit yhteensä,134872,34.16,238000,227000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2004,Alfa Romeo,Mallit yhteensä,390,44.87,184000,182000,Etuakselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Alfa Romeo,156,244,44.26,186000,183000,Etuakselisto,"Seisontajarrun
dynamometritesti","Bensiinimoottorin
pakokaasumittaus"
2004,Audi,Mallit yhteensä,5223,30.4,277000,265000,Käyttöjarru,Etuakselisto,"Jousitus ja
iskunvaimennus"
2004,Audi,A3,869,34.98,236000,227000,Käyttöjarru,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti"
2004,Audi,A4,2404,29.24,282000,269000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Audi,A6,1705,30.38,301000,288000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,BMW,Mallit yhteensä,4914,38.79,280000,273000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2004,BMW,1,179,44.69,238000,225000,Käyttöjarru,Taka-akselisto,"Jousitus ja
iskunvaimennus"
2004,BMW,3,1729,40.08,259000,246000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2004,BMW,5,1977,41.93,311000,307000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2004,BMW,X3,329,25.53,277000,265000,"Jousitus ja
iskunvaimennus",Etuakselisto,"Seisontajarrun
dynamometritesti"
2004,BMW,X5,369,35.77,317000,310000,Etuakselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2004,BMW,Z4,116,14.66,136000,131000,,,
2004,Chrysler,Mallit yhteensä,1498,44.39,218000,216000,"Seisontajarrun
dynamometritesti","Alustan kotelot ja
pohjalevy",Käyttöjarru
2004,Chrysler,300C,122,34.43,212000,216000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Ohjausnivelet ja
-tangot"
2004,Chrysler,NEON,242,41.32,158000,158000,"Alustan kotelot ja
pohjalevy",Etuakselisto,"Ohjausnivelet ja
-tangot"
2004,Chrysler,PT CRUISER,164,42.07,199000,189000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2004,Chrysler,SEBRING,279,47.31,198000,195000,"Alustan kotelot ja
pohjalevy","Ohjausnivelet ja
-tangot",Etuakselisto
2004,Chrysler,VOYAGER,635,48.66,260000,254000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Alustan kotelot ja
pohjalevy"
